Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,25.4
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,18,"Oct 28 - Nov 9, 2020",10/28/2020,11/09/2020,29.7
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,25.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,19,"Nov 11 - Nov 23, 2020",11/11/2020,11/23/2020,31.3
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,26.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,20,"Nov 25 - Dec 7, 2020",11/25/2020,12/07/2020,30.9
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,27.9
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,21,"Dec 9 - Dec 21, 2020",12/09/2020,12/21/2020,32.3
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,25.9
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,22,"Jan 6 - Jan 18, 2021",01/06/2021,01/18/2021,30.6
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,26.3
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,23,"Jan 20 - Feb 1, 2021",01/20/2021,02/01/2021,30.4
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,26.1
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,24,"Feb 3 - Feb 15, 2021",02/03/2021,02/15/2021,29.9
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,26.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,25,"Feb 17 - Mar 1, 2021",02/17/2021,03/01/2021,28.7
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,24.2
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,26,"Mar 3 - Mar 15, 2021",03/03/2021,03/15/2021,28.4
Symptoms of Depressive Disorder,By Sex,United States,Male,3 ,27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,23.2
Symptoms of Depressive Disorder,By Sex,United States,Female,3 ,27,"Mar 17 - Mar 29, 2021",03/17/2021,03/29/2021,26.0
Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,20.5
Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.2
Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,20.1
Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,29,"Apr 28 - May 10, 2021",04/28/2021,05/10/2021,23.6
Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,19.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,30,"May 12 - May 24, 2021",05/12/2021,05/24/2021,23.3
Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,19.3
Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,31,"May 26 - Jun 7, 2021",05/26/2021,06/07/2021,22.4
Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,20.1
Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,32,"Jun 9 - Jun 21, 2021",06/09/2021,06/21/2021,23.0
Symptoms of Depressive Disorder,By Sex,United States,Male,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,18.4
Symptoms of Depressive Disorder,By Sex,United States,Female,3.1,33,"Jun 23 - Jul 5, 2021",06/23/2021,07/05/2021,23.1
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,21.1
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,34,"Jul 21 - Aug 2, 2021",07/21/2021,08/02/2021,23.1
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,19.6
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,35,"Aug 4 - Aug 16, 2021",08/04/2021,08/16/2021,23.0
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,20.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,36,"Aug 18 - Aug 30, 2021",08/18/2021,08/30/2021,24.4
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,21.2
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,37,"Sep 1 - Sep 13, 2021",09/01/2021,09/13/2021,23.6
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.2
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.4
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,19.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,39,"Sep 29 - Oct 11, 2021",09/29/2021,10/11/2021,23.8
Symptoms of Depressive Disorder,By Sex,United States,Male,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,20.0
Symptoms of Depressive Disorder,By Sex,United States,Female,3.3,40,"Dec 1 - Dec 13, 2021",12/01/2021,12/13/2021,22.8
Symptoms of Depressive Disorder,By Sex,United States,Male,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,20.7
Symptoms of Depressive Disorder,By Sex,United States,Female,3.3,41,"Dec 29, 2021 - Jan 10, 2022",12/29/2021,01/10/2022,24.8
Symptoms of Depressive Disorder,By Sex,United States,Male,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,20.2
Symptoms of Depressive Disorder,By Sex,United States,Female,3.3,42,"Jan 26 - Feb 7, 2022",01/26/2022,02/07/2022,24.0
Symptoms of Depressive Disorder,By Sex,United States,Male,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,20.4
Symptoms of Depressive Disorder,By Sex,United States,Female,3.4,43,"Mar 2 - Mar 14, 2022",03/02/2022,03/14/2022,22.9
