Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.1
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,24.9
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.2
Symptoms of Anxiety Disorder,By State,Florida,Florida,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.6
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.5
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,20.4
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.0
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,35.7
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.5
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,20.3
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.1
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.6
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,34.6
Symptoms of Anxiety Disorder,By State,Maine,Maine,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,28.9
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,30.1
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,28.7
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.0
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,22.9
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,38.3
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,37.8
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,24.9
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.6
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,34.0
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,30.4
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,36.3
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,30.2
Symptoms of Anxiety Disorder,By State,New York,New York,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,33.0
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.9
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.4
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.4
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.2
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.2
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,28.4
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.9
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,27.9
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.1
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,29.6
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,32.4
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.0
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,31.8
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,26.8
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,28.5
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,34.6
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,25.6
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,2,"May 7 - May 12, 2020",05/07/2020,05/12/2020,22.5
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,20.7
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.2
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,29.0
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.7
Symptoms of Anxiety Disorder,By State,California,California,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,32.3
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.6
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.7
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.6
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,33.3
Symptoms of Anxiety Disorder,By State,Florida,Florida,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.2
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.6
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.1
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.0
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.5
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,32.6
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,19.0
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.7
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.7
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.9
Symptoms of Anxiety Disorder,By State,Maine,Maine,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,30.6
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.3
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.4
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.5
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,27.1
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,36.1
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,30.4
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,25.7
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,23.3
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,29.0
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,25.2
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,34.4
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,29.6
Symptoms of Anxiety Disorder,By State,New York,New York,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.8
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.4
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.2
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.2
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,25.2
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.2
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,25.8
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,23.9
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.5
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,22.3
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.8
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.8
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.1
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,25.8
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,26.8
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,28.9
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,29.3
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,23.4
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,3,"May 14 - May 19, 2020",05/14/2020,05/19/2020,24.1
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,25.2
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,31.6
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,29.3
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,28.6
Symptoms of Anxiety Disorder,By State,California,California,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.4
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,28.8
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.7
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.2
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,29.9
Symptoms of Anxiety Disorder,By State,Florida,Florida,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,34.1
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,32.6
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,19.6
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,22.1
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.3
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.5
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,20.6
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.1
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.8
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,36.0
Symptoms of Anxiety Disorder,By State,Maine,Maine,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.5
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,25.8
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,25.5
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,27.5
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,22.8
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,31.9
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,29.0
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.3
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,22.6
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,35.6
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.6
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,26.2
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,35.4
Symptoms of Anxiety Disorder,By State,New York,New York,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.6
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,27.5
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,22.1
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,29.8
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,27.3
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,32.1
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,28.0
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.6
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,27.0
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,30.4
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,29.6
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,32.6
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,25.5
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,23.3
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,28.7
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,26.8
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,34.5
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.7
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,4,"May 21 - May 26, 2020",05/21/2020,05/26/2020,24.0
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,31.6
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,26.1
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,27.9
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,35.3
Symptoms of Anxiety Disorder,By State,California,California,1,5,"May 28 - June 2, 2020",05/28/2020,06/02/2020,33.8
